Feb 15, 2020	0
Feb 16, 2020	0
Feb 17, 2020	0
Feb 18, 2020	0
Feb 19, 2020	0
Feb 20, 2020	0
Feb 21, 2020	0
Feb 22, 2020	0
Feb 23, 2020	0
Feb 24, 2020	0
Feb 25, 2020	0
Feb 26, 2020	0
Feb 27, 2020	0
Feb 28, 2020	0
Feb 29, 2020	0
Mar 01, 2020	0
Mar 02, 2020	0
Mar 03, 2020	0
Mar 04, 2020	0
Mar 05, 2020	0
Mar 06, 2020	0
Mar 07, 2020	5
Mar 08, 2020	1
Mar 09, 2020	2
Mar 10, 2020	2
Mar 11, 2020	6
Mar 12, 2020	5
Mar 13, 2020	16
Mar 14, 2020	5
Mar 15, 2020	28
Mar 16, 2020	15
Mar 17, 2020	31
Mar 18, 2020	28
Mar 19, 2020	89
Mar 20, 2020	29
Mar 21, 2020	55
Mar 22, 2020	45
Mar 23, 2020	32
Mar 24, 2020	21
Mar 25, 2020	64
Mar 26, 2020	100
Mar 27, 2020	55
Mar 28, 2020	36
Mar 29, 2020	181
Mar 30, 2020	98
Mar 31, 2020	115
Apr 01, 2020	258
Apr 02, 2020	91
Apr 03, 2020	181
Apr 04, 2020	151
Apr 05, 2020	535
Apr 06, 2020	280
Apr 07, 2020	393
Apr 08, 2020	1388
Apr 09, 2020	914
Apr 10, 2020	641
Apr 11, 2020	951
Apr 12, 2020	671
Apr 13, 2020	2265
Apr 14, 2020	519
Apr 15, 2020	1172
Apr 16, 2020	1016
Apr 17, 2020	998
Apr 18, 2020	931
Apr 19, 2020	1208
Apr 20, 2020	697
Apr 21, 2020	1512
Apr 22, 2020	1413
Apr 23, 2020	1664
Apr 24, 2020	734
Apr 25, 2020	3683
Apr 26, 2020	2186
Apr 27, 2020	1182
Apr 28, 2020	2491
Apr 29, 2020	2741
Apr 30, 2020	3045
May 01, 2020	3483
May 02, 2020	2075
May 03, 2020	3394
May 04, 2020	1444
May 05, 2020	3817
May 06, 2020	3628
May 07, 2020	3709
May 08, 2020	3321
May 09, 2020	3168
May 10, 2020	2292
May 11, 2020	1515
May 12, 2020	3237
May 13, 2020	4247
May 14, 2020	4298
May 15, 2020	3891
May 16, 2020	4046
May 17, 2020	3732
May 18, 2020	2660
May 19, 2020	4550
May 20, 2020	4537
May 21, 2020	4749
May 22, 2020	2929
May 23, 2020	4056
May 24, 2020	4205
May 25, 2020	4020
May 26, 2020	5772
May 27, 2020	6154
May 28, 2020	5874
May 29, 2020	6506
May 30, 2020	7386
May 31, 2020	8805
Jun 01, 2020	5563
Jun 02, 2020	4845
Jun 03, 2020	4030
Jun 04, 2020	4284
Jun 05, 2020	4202
Jun 06, 2020	4358
Jun 07, 2020	4757
Jun 08, 2020	3181
Jun 09, 2020	4040
Jun 10, 2020	5087
Jun 11, 2020	5965
Jun 12, 2020	5961
Jun 13, 2020	4383
Jun 14, 2020	4604
Jun 15, 2020	3256
Jun 16, 2020	4164
Jun 17, 2020	3752
Jun 18, 2020	3480
Jun 19, 2020	3537
Jun 20, 2020	3413
Jun 21, 2020	3598
Jun 22, 2020	2511
Jun 23, 2020	3363
Jun 24, 2020	3879
Jun 25, 2020	3913
Jun 26, 2020	3762
Jun 27, 2020	3625
Jun 28, 2020	3430
Jun 29, 2020	2946
Jun 30, 2020	2848
Jul 01, 2020	3264
Jul 02, 2020	3527
Jul 03, 2020	3595
Jul 04, 2020	3481
Jul 05, 2020	3638
Jul 06, 2020	2985
Jul 07, 2020	3575
Jul 08, 2020	3633
Jul 09, 2020	3537
Jul 10, 2020	3198
Jul 11, 2020	3064
Jul 12, 2020	3616
Jul 13, 2020	3797
Jul 14, 2020	3744
Jul 15, 2020	3857
Jul 16, 2020	3862
Jul 17, 2020	3951
Jul 18, 2020	3963
